"projectID";"topic";"title"
"888561";"EIC-SMEInst-2018-2020";"SME instrument"
"673504";"SC5-20-2014-1";"Boosting the potential of small businesses for eco-innovation and a sustainable supply of raw materials"
"832274";"EIC-SMEInst-2018-2020";"SME instrument"
"678520";"ERC-StG-2015";"ERC Starting Grant"
"644859";"ICT-18-2014";"Support the growth of ICT innovative Creative Industries SMEs"
"650176";"PHC-12-2014-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"827213";"EIC-SMEInst-2018-2020";"SME instrument"
"676786";"ERC-StG-2015";"ERC Starting Grant"
"739677";"INNOSUP-02-2016";"European SME innovation Associate - pilot"
"822144";"EIC-SMEInst-2018-2020";"SME instrument"
"949648";"ERC-2020-STG";"ERC STARTING GRANTS"
"719575";"SFS-08-2015-1";"Resource-efficient eco-innovative food production and processing"
"822932";"EIC-SMEInst-2018-2020";"SME instrument"
"716230";"ERC-2016-STG";"ERC Starting Grant"
"833895";"ERC-2018-ADG";"ERC Advanced Grant"
"681707";"ERC-CoG-2015";"ERC Consolidator Grant"
"684347";"SIE-01-2015-1";"Stimulating the innovation potential of SMEs for a low carbon energy system"
"883528";"EIC-SMEInst-2018-2020";"SME instrument"
"101019653";"ERC-2020-ADG";"ERC ADVANCED GRANT"
"875410";"ERC-2019-POC";"ERC Proof of Concept Grant"
"772193";"ERC-2017-COG";"ERC Consolidator Grant"
"734602";"MSCA-RISE-2016";"Research and Innovation Staff Exchange"
"101002090";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"692694";"ERC-PoC-2015";"ERC Proof of Concept Grant"
"815811";"EIC-SMEInst-2018-2020";"SME instrument"
"644902";"ICT-03-2014";"Advanced Thin, Organic and Large Area Electronics (TOLAE) technologies"
"826657";"EIC-SMEInst-2018-2020";"SME instrument"
"101035820";"IBA-SwafS-Support-2-2020";"Support for the Research and Innovation Dimension of European Universities (Part II)"
"948278";"ERC-2020-STG";"ERC STARTING GRANTS"
"819236";"ERC-2018-COG";"ERC Consolidator Grant"
"694612";"ERC-ADG-2015";"ERC Advanced Grant"
"101002359";"ERC-2020-COG";"ERC CONSOLIDATOR GRANTS"
"677638";"ERC-StG-2015";"ERC Starting Grant"
"711221";"ICT-37-2015-1";"Open Disruptive Innovation Scheme (implemented through the SME instrument)"
"826761";"EIC-SMEInst-2018-2020";"SME instrument"
"812309";"ERC-2018-PoC";"ERC Proof of Concept Grant"
"818299";"ERC-2018-COG";"ERC Consolidator Grant"
"687567";"ERC-ADG-2015";"ERC Advanced Grant"
"724046";"ERC-2016-COG";"ERC Consolidator Grant"
"724703";"ERC-2016-COG";"ERC Consolidator Grant"
"101038041";"WF-03-2020";"Widening Fellowships"
"647467";"ERC-CoG-2014";"ERC Consolidator Grant"
"741340";"ERC-2016-ADG";"ERC Advanced Grant"
"805436";"ERC-2018-STG";"ERC Starting Grant"
"850604";"ERC-2019-STG";"ERC Starting Grant"
"819459";"ERC-2018-COG";"ERC Consolidator Grant"
"803624";"ERC-2018-STG";"ERC Starting Grant"
"949710";"ERC-2020-STG";"ERC STARTING GRANTS"
